Input_Phase;Observed_Phase;Target_Output;Observed_Output;Output_State;Fidelity;Dimension
"2;1";"0.624215922115966;-1.855890027440959";"0.946088443452240;0.053911556547760";"0.904077898588824;0.095922101411176";"0.9339;0.0661";0.992297736480459;2
"2;-1";"1.798309420000755;-0.977630407509621";"0.945538461538462;0.054461538461538";"0.945579012657646;0.054420987342354";"0.9875;0.0125";0.993731190521104;2
"2;-1";"-1.518735501440521;1.423154820360810";"0.944555682684974;0.055444317315027";"0.917359124551605;0.082640875448395";"0.9712;0.0288";0.985475015981451;2
"2;-1";"1.506661171098685;-0.880106272618217";"0.947479881406184;0.052520118593816";"0.901491237618374;0.098508762381626";"0.9089;0.0911";0.953360349590730;2
"2;-1";"2.214372357669663;-0.537238087712082";"0.946966833601058;0.053033166398942";"0.944101418812401;0.055898581187599";"0.9847;0.0153";0.992297736480459;2
"-2;1";"0.597383271721205;-3.027075372948803";"0.947067337514646;0.052932662485354";"0.917523759927093;0.082476240072907";"0.9712;0.0288";0.985476854050993;2
"-2;1";"-0.566646468617996;2.077074394952799";"0.950731416719988;0.049268583280012";"0.913884962487768;0.086115037512232";"0.9686;0.0314";0.984175062262345;2
"-2;1";"0.983778348835157;-1.982898532022908";"0.945645330535152;0.054354669464848";"0.945512110879865;0.054487889120135";"0.9752;0.0248";0.987503914441403;2
"-2;1";"0.183272790489130;-2.597435520593274";"0.946224364426803;0.053775635573197";"0.923440513787914;0.076559486212086";"0.9382;0.0618";0.968605269371881;2
"-2;1";"-1.630420840960715;1.861145929037615";"0.949850233459607;0.050149766540393";"0.924376191206432;0.075623808793568";"0.9408;0.0592";0.969947012323009;2
"0.381910120786505;-1.472161505899622";"-0.180817805727796;-1.395115369334404";"0.952500099289090;0.047499900710910";"0.891137646879292;0.108862353120708";"0.9011;0.0989";0.949270948125350;2
"1.047197551196598;-0.740941663582498";"0.839973379611504;-0.274790207558082";"0.947823641094157;0.052176358905843";"0.874683101669726;0.125316898330274";"0.8909 ;0.1091";0.943854063574815;2
"0.174532925199433;-0.434281539064113";"0.599519077122764;-0.505412991656550";"0.939143384232402;0.060856615767598";"0.938795351098148;0.061204648901852";"0.9397;0.0603";0.969390855865216;2
"-0.523598775598299;0.189939096347630";"-0.709573121109658;-0.405505418186935";"0.945351895191449;0.054648104808551";"0.913046297497082;0.086953702502918";"0.9587;0.0413";0.979114878257107;2
"0.486465260698327;1.054225722681139";"-0.597274520768476;-0.464851049081254";"0.946801909307876;0.053198090692124";"0.908232523778742;0.091767476221258";"0.9534;0.0466";0.976403599848215;2
"2;-1";"1.660989973326458;-0.57660501087794";"0.948191250701066;0.051808749298934";"0.848913702068727;0.151086297931273";"0.8616;0.1384";0.928217929453910;2
"0.174532925199433;-0.434281539064113";"2.418392385299272;2.004536879755753";"0.953069683101632;0.046930316898368";"0.941209167094236;0.058790832905764";"0.9905;0.0095";0.995252636557662;2
"0.174532925199433;-0.434281539064113";"0.363906614314149;-0.694873377474124";"0.940744445614405;0.059255554385595";"0.898252769663231;0.101747230336769";"0.9502;0.0498";0.974797952438419;2
"2.34568;-1.5794";"-1.224394550941230;0.399205247725444";"0.947406542056075;0.052593457943925";"0.835695785260184;0.164304214739817";"0.8711;0.1289";0.933317272510191;2
"2.34568;-1.5794";"-0.790537017204516;1.015008200660631";"0.950455719109307;0.049544280890694";"0.884980301652796;0.115019698347204";"0.9256;0.0744";0.962076817043697;2
"2;-1;1;-2";"-2.520310242630193;0.362579323760163;-3.141592653589793;0.063557622362090";"0.850022433413550;0.050862666721051;0.046783864257454;0.052331035607946";"0.779613820393508;0.075440589162056;0.084856923020555;0.060088667423882";"0.9097;0.0136;0.0697;0.0069";0.953807854117404;4
"2;-1;1;-2";"0.416476605890657;-2.076057377825960;-0.017278323866411;2.432148222159950";"0.847949450637904;0.055539904213788;0.044713647522840;0.051796997625468";"0.776272384542884;0.066054037071945;0.049992145774427;0.107681432610745";"0.8834;0.0062;0.0031;0.1073";0.939889400410810;4
"2;-1;1;-2";"-2.190178140218978;1.240496252517807;2.626788918646120;0.293328197946482";"0.846321130844509;0.056703314405380;0.045225725907132;0.051749828842978";"0.780769534021919;0.082709138216510;0.062642907829378;0.073878419932193";"0.9331;0.0399;0.0107;0.0163";0.965952242007893;4
"2;-1;1;-2";"1.171870224637320;-1.699636758944058;0.018093084767705;-1.986879916357664";"0.831706466794492;0.059830922084713;0.053381558305735;0.055081052815060";"0.749372415829888;0.095761961015948;0.053381571175428;0.101484051978736";"0.8635;0.0727;0.0206;0.0432";0.929243989509146;4
"2;-1;1;-2";"1.807818878951860;-0.690887545185724;1.189506272441082;-1.237630406989197";"0.847693856998993;0.056596173212487;0.044672708962739;0.051037260825780";"0.782080037775942;0.096643450202652;0.067485145398025;0.053791366623382";"0.8894;0.0674;0.0399;0.0033";0.943080604529821;4
